epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3106,3.2922,4.01515,2.8071,0.0008,0.23958,0.00154,0.00032,2.93642,3.73715,2.57635,0.089011,1.1e-05,1.1e-05
2,18.0966,1.4616,2.93277,1.3823,0.00066,0.09896,0.00042,5e-05,4.05476,3.99879,3.77779,0.0770226,2.26442e-05,2.26442e-05
3,23.8192,1.19564,2.25022,1.09625,0,0,0,0,4.89538,4.73426,3.53811,0.0650339,3.39172e-05,3.39172e-05
4,29.2796,1.12654,1.67594,0.99024,0.02457,0.71615,0.19381,0.04635,2.7424,3.0345,2.41017,0.0530448,4.48189e-05,4.48189e-05
5,34.6307,1.09133,1.33271,0.96441,0.02506,0.99219,0.52208,0.19911,1.89121,2.71675,1.70212,0.0410553,5.53494e-05,5.53494e-05
6,39.9243,1.05935,1.21307,0.95704,0.84844,0.60227,0.91195,0.5688,1.21366,2.06722,0.99134,0.0290655,6.55086e-05,6.55086e-05
7,45.1923,1.05965,1.10681,0.94881,0.95148,0.70819,0.98161,0.67867,0.99612,1.77881,0.8845,0.0170753,7.52966e-05,7.52966e-05
8,50.4614,1.02744,1.02521,0.94099,0.97253,0.74609,0.99343,0.69292,0.99919,1.55903,0.88159,0.00508471,8.47133e-05,8.47133e-05
9,55.8166,0.99448,0.94462,0.92966,0.98838,0.97641,0.995,0.71273,0.95254,1.30327,0.86841,8.7625e-05,8.7625e-05,8.7625e-05
10,61.0976,0.98913,0.91994,0.93309,0.99405,0.99994,0.995,0.71382,0.96765,1.07415,0.86756,8.60781e-05,8.60781e-05,8.60781e-05
11,66.5685,0.97355,0.88851,0.93556,0.99422,0.99788,0.995,0.72583,0.95707,1.04883,0.8729,8.45313e-05,8.45313e-05,8.45313e-05
12,71.898,0.96458,0.85737,0.93476,0.9965,0.99743,0.995,0.70777,1.0078,0.89106,0.87305,8.29844e-05,8.29844e-05,8.29844e-05
13,77.2457,0.96574,0.82944,0.93122,0.99596,1,0.995,0.73215,0.93949,0.78116,0.86229,8.14375e-05,8.14375e-05,8.14375e-05
14,82.6068,0.93584,0.80618,0.92131,0.99758,1,0.995,0.73881,0.8974,0.69933,0.86008,7.98906e-05,7.98906e-05,7.98906e-05
15,87.8776,0.94258,0.78368,0.92259,0.99668,1,0.995,0.71701,0.95339,0.68796,0.85626,7.83438e-05,7.83438e-05,7.83438e-05
16,93.104,0.95363,0.78472,0.92925,0.99534,0.99727,0.995,0.72749,0.92786,0.68642,0.85811,7.67969e-05,7.67969e-05,7.67969e-05
17,98.4226,0.91315,0.7607,0.9238,0.99714,0.9973,0.995,0.74177,0.90742,0.67,0.85393,7.525e-05,7.525e-05,7.525e-05
18,103.682,0.92506,0.75024,0.91653,0.9976,1,0.995,0.66703,1.07886,0.7282,0.87859,7.37031e-05,7.37031e-05,7.37031e-05
19,108.943,0.92306,0.75252,0.91711,0.99825,1,0.995,0.72114,0.91385,0.65594,0.86363,7.21563e-05,7.21563e-05,7.21563e-05
20,114.243,0.91731,0.73616,0.91843,0.99836,1,0.995,0.74167,0.88969,0.62343,0.863,7.06094e-05,7.06094e-05,7.06094e-05
